COLUMN_NAME,DATA_TYPE,IS_NULLABLE
contactid,int,NO
firstname,nvarchar,YES
lastname,nvarchar,YES
companyname,nvarchar,YES
email,nvarchar,YES
phonemobile,nvarchar,YES
