COLUMN_NAME,DATA_TYPE,IS_NULLABLE
MergedRecordID,int,NO
EntityTypeId,int,NO
MainEntityID,int,NO
MergedEntityID,int,NO
TopEntityId,int,NO
CreatedDate,datetime,YES
