COLUMN_NAME,DATA_TYPE,IS_NULLABLE
ReferenceID,int,NO
EntityTypeID,int,NO
EntityRecordID,int,NO
TopEntityRecordID,int,NO
Status,int,NO
UpdatedTime,datetime,NO
