COLUMN_NAME,DATA_TYPE,IS_NULLABLE
ExceptionLoggerID,int,NO
PageName,varchar,YES
Method,varchar,YES
Line_Number,int,YES
ErrorMessage,varchar,YES
CreationDateTime,datetime,YES
